annee_inscription;etape;libel_etape;version_etape;num_etudiant;ine;nom;prenom;date_naissance;sexe;nationalite;code_postal;ville;cat_socio_etudiant;cat_socio_parent;bac;mention;annee_bac;departement_bac;etablissement_bac;lib_etab_bac;situ_annee_prec;bourse_superieur
2018-2019;T10601;DUT INFORMATIQUE 1 ANNEE;131;48612625372;O240171781P;MORICE;Shaun;2001-02-22;M;FRANCAIS(E);22300;PLOULEC-H;Personne sans activite professionnelle;Artisan;S;B;2018;22;0220102S;PRIVE BOSSUET;A;
2019-2020;T10602;DUT INFORMATIQUE 2 ANNEE;141;93511802254;J976762258B;PRUNIER;Donat;1999-07-18;M;FRANCAIS(E);29000;QUIMPER;Elève/Etudiant;Profession interm adm et commerc. entrep;TI2D;B;2018;29;0290071V;YVES THEPOT;C;Bourse enseignement supérieur définitive
2018-2019;T10601;DUT INFORMATIQUE 1 ANNEE;131;93511802254;J976762258B;PRUNIER;Donat;1999-07-18;M;FRANCAIS(E);29000;QUIMPER;Elève/Etudiant;Profession interm adm et commerc. entrep;TI2D;B;2018;29;0290071V;YVES THEPOT;A;Bourse enseignement supérieur définitive
2019-2020;T10602;DUT INFORMATIQUE 2 ANNEE;141;55647943178;M138861142K;CASSAGNE;Jonathon;2000-01-08;M;FRANCAIS(E);29510;BRIEC;Personne sans activite professionnelle;Ouvriers non qualifiés type industrie;TI2D;B;2018;29;0290071V;YVES THEPOT;C;
2018-2019;T10601;DUT INFORMATIQUE 1 ANNEE;131;55647943178;M138861142K;CASSAGNE;Jonathon;2000-01-08;M;FRANCAIS(E);29510;BRIEC;Personne sans activite professionnelle;Ouvriers non qualifiés type industrie;TI2D;B;2018;29;0290071V;YVES THEPOT;A;
2019-2020;T10607;DUT INFORMATIQUE 2 ANNEE (alternance);191;46696716818;Z224658257Q;VERRIER;Chet;2000-06-17;M;FRANCAIS(E);29800;SAINT-DIVY;Elève/Etudiant;Cadre administratif et commercial d'entr;S;AB;2018;29;0290335G;PRIVE LA CROIX ROUGE;C;
2018-2019;T10601;DUT INFORMATIQUE 1 ANNEE;131;46696716818;Z224658257Q;VERRIER;Chet;2000-06-17;M;FRANCAIS(E);29800;SAINT-DIVY;Elève/Etudiant;Cadre administratif et commercial d'entr;S;AB;2018;29;0290335G;PRIVE LA CROIX ROUGE;A;
2019-2020;T10602;DUT INFORMATIQUE 2 ANNEE;141;23977475712;C458897452C;LE MEUR;Humphry;2000-02-16;M;FRANCAIS(E);56230;LARRE;Personne sans activite professionnelle;Technicien;S;AB;2018;56;0561641E;MARCELIN BERTHELOT;C;Bourse enseignement supérieur définitive
2018-2019;T10601;DUT INFORMATIQUE 1 ANNEE;131;23977475712;C458897452C;LE MEUR;Humphry;2000-02-16;M;FRANCAIS(E);56230;LARRE;Personne sans activite professionnelle;Technicien;S;AB;2018;56;0561641E;MARCELIN BERTHELOT;A;Bourse enseignement supérieur définitive
2019-2020;T10607;DUT INFORMATIQUE 2 ANNEE (alternance);191;88501648777;S213747376V;LEGRAS;Moses;2000-04-22;M;FRANCAIS(E);29400;GUIMILIAU;Personne sans activite professionnelle;Ouvriers qualifiés manutention magasin;S;P;2018;29;0290198H;PRIVE SAINT ESPRIT;C;
2018-2019;T10601;DUT INFORMATIQUE 1 ANNEE;131;88501648777;S213747376V;LEGRAS;Moses;2000-04-22;M;FRANCAIS(E);29400;GUIMILIAU;Personne sans activite professionnelle;Ouvriers qualifiés manutention magasin;S;P;2018;29;0290198H;PRIVE SAINT ESPRIT;A;Bourse enseignement supérieur définitive
2019-2020;T10602;DUT INFORMATIQUE 2 ANNEE;141;98896626407;M774758705G;CARLE;Jere;2000-07-17;M;FRANCAIS(E);85170;SAINT-DENIS-LA-CHEVASSE;Elève/Etudiant;Employe administratif d'entreprise;S;AB;2018;85;0851401L;J.DE LATTRE DE TASSIGNY;C;Bourse enseignement supérieur définitive
2018-2019;T10601;DUT INFORMATIQUE 1 ANNEE;131;98896626407;M774758705G;CARLE;Jere;2000-07-17;M;FRANCAIS(E);85170;SAINT-DENIS-LA-CHEVASSE;Elève/Etudiant;Profession interm adm et commerc. entrep;S;AB;2018;85;0851401L;J.DE LATTRE DE TASSIGNY;A;Bourse enseignement supérieur définitive
2019-2020;T10602;DUT INFORMATIQUE 2 ANNEE;141;13265212385;E023867177N;LAMARQUE;Toussaint;2000-04-25;M;FRANCAIS(E);56260;LARMOR-PLAGE;Personne sans activite professionnelle;Professeur, profession scientifique;S;AB;2018;56;0560026Z;COLBERT;C;Bourse enseignement supérieur définitive
2018-2019;T10601;DUT INFORMATIQUE 1 ANNEE;131;13265212385;E023867177N;LAMARQUE;Toussaint;2000-04-25;M;FRANCAIS(E);56260;LARMOR-PLAGE;Personne sans activite professionnelle;Professeur, profession scientifique;S;AB;2018;56;0560026Z;COLBERT;A;
2018-2019;T10606;DUT INFORMATIQUE 2 ANNEE (apprentissage);171;41878462972;Y252668944V;JEZEQUEL;Dawson;1998-05-09;M;FRANCAIS(E);35131;CHARTRES-DE-BRETAGNE;Employe civil-agent de service de la FP;Policier et militaire;S;TB;2016;72;0720896H;PRYTANEE NATIONAL MILITAIRE;C;
2017-2018;T10601;DUT INFORMATIQUE 1 ANNEE;131;41878462972;Y252668944V;JEZEQUEL;Dawson;1998-05-09;M;FRANCAIS(E);35131;CHARTRES-DE-BRETAGNE;Personne sans activite professionnelle;Policier et militaire;S;TB;2016;72;0720896H;PRYTANEE NATIONAL MILITAIRE;E;
2019-2020;T10602;DUT INFORMATIQUE 2 ANNEE;141;42568162498;U383486589U;BESSET;Denis;2000-02-05;M;FRANCAIS(E);50620;SAINT-JEAN-DE-DAYE;Personne sans activite professionnelle;Retraité profession intermédiaire;S;AB;2018;50;0501219D;PIERRE ET MARIE CURIE;C;Bourse enseignement supérieur définitive
2018-2019;T10601;DUT INFORMATIQUE 1 ANNEE;131;42568162498;U383486589U;BESSET;Denis;2000-02-05;M;FRANCAIS(E);50620;SAINT-JEAN-DE-DAYE;Personne sans activite professionnelle;Retraité profession intermédiaire;S;AB;2018;50;0501219D;PIERRE ET MARIE CURIE;A;Bourse enseignement supérieur définitive
2019-2020;T10607;DUT INFORMATIQUE 2 ANNEE (alternance);191;12724213604;X922281899T;BERANGER;Gil;2001-03-27;M;FRANCAIS(E);22730;TREGASTEL;Personne sans activite professionnelle;Retraité cadre;S;AB;2018;22;0220023F;FELIX LE DANTEC;C;
2018-2019;T10601;DUT INFORMATIQUE 1 ANNEE;131;12724213604;X922281899T;BERANGER;Gil;2001-03-27;M;FRANCAIS(E);22730;TREGASTEL;Personne sans activite professionnelle;Retraité cadre;S;AB;2018;22;0220023F;FELIX LE DANTEC;A;Bourse enseignement supérieur définitive
2019-2020;T10602;DUT INFORMATIQUE 2 ANNEE;141;41292302328;X889801096E;PERROT;Edmund;2001-04-14;M;FRANCAIS(E);35120;BAGUER-PICAN;Elève/Etudiant;Ingenieur cadre technique d'entreprise;S;P;2018;35;0352471W;LYCEE GENERAL PRIVE ST MAGLOIRE;C;
2018-2019;T10601;DUT INFORMATIQUE 1 ANNEE;131;41292302328;X889801096E;PERROT;Edmund;2001-04-14;M;FRANCAIS(E);35120;BAGUER-PICAN;Elève/Etudiant;Ingenieur cadre technique d'entreprise;S;P;2018;35;0352471W;LYCEE GENERAL PRIVE ST MAGLOIRE;A;
2017-2018;T10602;DUT INFORMATIQUE 2 ANNEE;141;48182287094;U160165184E;NICOLAS;Matthieu;1991-07-05;M;FRANCAIS(E);22100;DINAN;Personne sans activite professionnelle;Profession liberale;S;AB;2009;22;0220094H;PRIVE DES CORDELIERS;C;
2016-2017;T10601;DUT INFORMATIQUE 1 ANNEE;131;48182287094;U160165184E;NICOLAS;Matthieu;1991-07-05;M;FRANCAIS(E);22100;DINAN;Personne sans activite professionnelle;Profession liberale;S;AB;2009;22;0220094H;PRIVE DES CORDELIERS;S;
2017-2018;T10602;DUT INFORMATIQUE 2 ANNEE;141;35051448250;O950382474L;LAFOSSE;Brent;1994-01-12;M;FRANCAIS(E);35250;ANDOUILLE-NEUVILLE;Personne sans activite professionnelle;Contremaitre-agent de maitrise;S;AB;2015;35;0350793X;PRIVE ST ETIENNE;C;
2016-2017;T10601;DUT INFORMATIQUE 1 ANNEE;131;35051448250;O950382474L;LAFOSSE;Brent;1994-01-12;M;FRANCAIS(E);35250;ANDOUILLE-NEUVILLE;Personne sans activite professionnelle;Contremaitre-agent de maitrise;S;AB;2015;35;0350793X;PRIVE ST ETIENNE;E;
2019-2020;T10607;DUT INFORMATIQUE 2 ANNEE (alternance);191;55514115254;K868350491X;DUCHESNE;Thaddeus;1997-06-26;M;FRANCAIS(E);22300;LANNION;Personne sans activite professionnelle;Personne sans activite professionnelle;S;AB;2015;22;0220070G;CHAPTAL;C;
2018-2019;T10601;DUT INFORMATIQUE 1 ANNEE;131;55514115254;K868350491X;DUCHESNE;Thaddeus;1997-06-26;M;FRANCAIS(E);22300;LANNION;Personne sans activite professionnelle;Personne sans activite professionnelle;S;AB;2015;22;0220070G;CHAPTAL;H;Bourse enseignement supérieur définitive
2018-2019;T10602;DUT INFORMATIQUE 2 ANNEE;141;79671261384;V596857763N;OUVRARD;Deangelo;1997-06-22;M;FRANCAIS(E);29720;PLONEOUR-LANVERN;Personne sans activite professionnelle;Employe civil-agent de service de la FP;TI2D;AB;2016;29;0290071V;YVES THEPOT;C;Bourse enseignement supérieur définitive
2017-2018;T10601;DUT INFORMATIQUE 1 ANNEE;131;79671261384;V596857763N;OUVRARD;Deangelo;1997-06-22;M;FRANCAIS(E);29720;PLONEOUR-LANVERN;Personne sans activite professionnelle;Employe civil-agent de service de la FP;TI2D;AB;2016;29;0290071V;YVES THEPOT;C;Bourse enseignement supérieur définitive
2016-2017;T10601;DUT INFORMATIQUE 1 ANNEE;131;79671261384;V596857763N;OUVRARD;Deangelo;1997-06-22;M;FRANCAIS(E);29720;PLONEOUR-LANVERN;Personne sans activite professionnelle;Employe civil-agent de service de la FP;TI2D;AB;2016;29;0290071V;YVES THEPOT;A;Bourse enseignement supérieur définitive
2017-2018;T10606;DUT INFORMATIQUE 2 ANNEE (apprentissage);171;52688648537;B593866180E;GUILLOUX;Clayton;1998-09-05;M;FRANCAIS(E);29150;CHATEAULIN;Personne sans activite professionnelle;Retraité ancien agriculteur exploitant;S;AB;2015;29;0290023T;JEAN MOULIN;C;
2016-2017;T10601;DUT INFORMATIQUE 1 ANNEE;131;52688648537;B593866180E;GUILLOUX;Clayton;1998-09-05;M;FRANCAIS(E);29150;CHATEAULIN;Personne sans activite professionnelle;Retraité ancien agriculteur exploitant;S;AB;2015;29;0290023T;JEAN MOULIN;D;
2017-2018;T10606;DUT INFORMATIQUE 2 ANNEE (apprentissage);171;77239293645;K493112657Y;COMPAIN;Wymond;1996-12-25;M;FRANCAIS(E);29200;BREST;Technicien;Employe civil-agent de service de la FP;TI2D;B;2015;29;0290012F;INDUSTRIEL VAUBAN;C;
2016-2017;T10601;DUT INFORMATIQUE 1 ANNEE;131;77239293645;K493112657Y;COMPAIN;Wymond;1996-12-25;M;FRANCAIS(E);29200;BREST;Personne sans activite professionnelle;Employe civil-agent de service de la FP;TI2D;B;2015;29;0290012F;INDUSTRIEL VAUBAN;E;Bourse enseignement supérieur définitive
2017-2018;T10602;DUT INFORMATIQUE 2 ANNEE;141;26365411421;S492853225B;BARTH;Redd;1997-01-21;M;FRANCAIS(E);22200;PLOUISY;Personne sans activite professionnelle;Employe civil-agent de service de la FP;S;B;2015;22;0220018A;AUGUSTE PAVIE;C;
2016-2017;T10601;DUT INFORMATIQUE 1 ANNEE;131;26365411421;S492853225B;BARTH;Redd;1997-01-21;M;FRANCAIS(E);22200;PLOUISY;Personne sans activite professionnelle;Employe civil-agent de service de la FP;S;B;2015;22;0220018A;AUGUSTE PAVIE;E;
2017-2018;T10602;DUT INFORMATIQUE 2 ANNEE;141;67272041464;P334448184P;KESSLER;Reena;1997-11-04;F;FRANCAIS(E);29870;LANDEDA;Personne sans activite professionnelle;Employe administratif d'entreprise;S;P;2016;29;0290007A;KERICHEN;C;Bourse enseignement supérieur définitive
2016-2017;T10601;DUT INFORMATIQUE 1 ANNEE;131;67272041464;P334448184P;KESSLER;Reena;1997-11-04;F;FRANCAIS(E);29870;LANDEDA;Personne sans activite professionnelle;Employe administratif d'entreprise;S;P;2016;29;0290007A;KERICHEN;A;Bourse enseignement supérieur définitive
2017-2018;T10602;DUT INFORMATIQUE 2 ANNEE;141;60258518771;H096594108W;VIGOUROUX;Annie;1997-08-29;F;FRANCAIS(E);35170;BRUZ;Non renseigne (inconnu);Ingenieur cadre technique d'entreprise;S;TB;2015;35;0352686E;LYCEE Gal ET TECHN. ANITA CONTI;C;
2016-2017;T10601;DUT INFORMATIQUE 1 ANNEE;131;60258518771;H096594108W;VIGOUROUX;Annie;1997-08-29;F;FRANCAIS(E);35170;BRUZ;Non renseigne (inconnu);Ingenieur cadre technique d'entreprise;S;TB;2015;35;0352686E;LYCEE Gal ET TECHN. ANITA CONTI;E;
2018-2019;T10602;DUT INFORMATIQUE 2 ANNEE;141;42765931426;M520855927G;MALET;Lori;1998-08-06;F;FRANCAIS(E);29650;GUERLESQUIN;Personne sans activite professionnelle;Personne sans activite professionnelle;S;B;2015;22;0220097L;PRIVE NOTRE DAME;C;
2017-2018;T10601;DUT INFORMATIQUE 1 ANNEE;131;42765931426;M520855927G;MALET;Lori;1998-08-06;F;FRANCAIS(E);29650;GUERLESQUIN;Personne sans activite professionnelle;Ingenieur cadre technique d'entreprise;S;B;2015;22;0220097L;PRIVE NOTRE DAME;D;
2018-2019;T10602;DUT INFORMATIQUE 2 ANNEE;141;30436518266;I852156512S;RIGAULT;Lanford;1997-04-05;M;FRANCAIS(E);56440;LANGUIDIC;Personne sans activite professionnelle;Profession interm adm de la fonction pub;S;B;2015;56;0560098C;PRIVE NOTRE DAME DU VOEU;C;
2017-2018;T10601;DUT INFORMATIQUE 1 ANNEE;131;30436518266;I852156512S;RIGAULT;Lanford;1997-04-05;M;FRANCAIS(E);56440;LANGUIDIC;Personne sans activite professionnelle;Profession interm adm de la fonction pub;S;B;2015;56;0560098C;PRIVE NOTRE DAME DU VOEU;E;
2018-2019;T10602;DUT INFORMATIQUE 2 ANNEE;141;57065736414;G497372165B;CLAVIER;Gervase;1997-02-09;M;FRANCAIS(E);56400;AURAY;Personne sans activite professionnelle;Personne sans activite professionnelle;ES;P;2015;22;0220018A;AUGUSTE PAVIE;C;Bourse enseignement supérieur définitive
2017-2018;T10601;DUT INFORMATIQUE 1 ANNEE;131;57065736414;G497372165B;CLAVIER;Gervase;1997-02-09;M;FRANCAIS(E);56400;AURAY;Personne sans activite professionnelle;Personne sans activite professionnelle;ES;P;2015;22;0220018A;AUGUSTE PAVIE;H;
2017-2018;T10606;DUT INFORMATIQUE 2 ANNEE (apprentissage);171;27447132664;M822036773S;FOURRE;James;1997-06-24;M;FRANCAIS(E);22290;PLEGUIEN;Technicien;Contremaitre-agent de maitrise;S;B;2015;22;0220097L;PRIVE NOTRE DAME;C;
2016-2017;T10601;DUT INFORMATIQUE 1 ANNEE;131;27447132664;M822036773S;FOURRE;James;1997-06-24;M;FRANCAIS(E);22290;PLEGUIEN;Personne sans activite professionnelle;Agriculteur exploitant;S;B;2015;22;0220097L;PRIVE NOTRE DAME;D;
2019-2020;T10602;DUT INFORMATIQUE 2 ANNEE;141;67132968682;T182775402I;RICHE;Rudy;1997-04-25;M;FRANCAIS(E);22290;PLEGUIEN;Personne sans activite professionnelle;Retraité ancien  employé et ouvrier;S;P;2015;22;0220097L;PRIVE NOTRE DAME;C;
2018-2019;T10601;DUT INFORMATIQUE 1 ANNEE;131;67132968682;T182775402I;RICHE;Rudy;1997-04-25;M;FRANCAIS(E);22290;PLEGUIEN;Personne sans activite professionnelle;Retraité ancien  employé et ouvrier;S;P;2015;22;0220097L;PRIVE NOTRE DAME;U;
2017-2018;T10606;DUT INFORMATIQUE 2 ANNEE (apprentissage);171;25857563025;N454754847Q;PICHARD;Elric;1997-06-03;M;FRANCAIS(E);29233;CLEDER;Technicien;Cadre administratif et commercial d'entr;ES;TB;2015;29;0290177K;ND DU KREISKER ST J.BAPTISTE;C;
2016-2017;T10601;DUT INFORMATIQUE 1 ANNEE;131;25857563025;N454754847Q;PICHARD;Elric;1997-06-03;M;FRANCAIS(E);29233;CLEDER;Personne sans activite professionnelle;Cadre administratif et commercial d'entr;ES;TB;2015;29;0290177K;ND DU KREISKER ST J.BAPTISTE;H;Bourse enseignement supérieur définitive
2017-2018;T10602;DUT INFORMATIQUE 2 ANNEE;141;31542518167;Q619341466Q;BIANCHI;Jon;1997-08-08;M;FRANCAIS(E);56850;CAUDAN;Personne sans activite professionnelle;Ouvrier qualifie;S;AB;2016;56;0560181T;PRIVE ST JOSEPH;C;Bourse enseignement supérieur définitive
2016-2017;T10601;DUT INFORMATIQUE 1 ANNEE;131;31542518167;Q619341466Q;BIANCHI;Jon;1997-08-08;M;FRANCAIS(E);56850;CAUDAN;Personne sans activite professionnelle;Ouvrier qualifie;S;AB;2016;56;0560181T;PRIVE ST JOSEPH;A;Bourse enseignement supérieur définitive
2017-2018;T10602;DUT INFORMATIQUE 2 ANNEE;141;40519298746;C888775742T;VENET;Al;1997-11-02;M;FRANCAIS(E);56240;BERNE;Personne sans activite professionnelle;Cadre de la fonction publique;S;P;2015;56;0560181T;PRIVE ST JOSEPH;C;
2016-2017;T10601;DUT INFORMATIQUE 1 ANNEE;131;40519298746;C888775742T;VENET;Al;1997-11-02;M;FRANCAIS(E);56240;BERNE;Personne sans activite professionnelle;Cadre de la fonction publique;S;P;2015;56;0560181T;PRIVE ST JOSEPH;C;
2017-2018;T10606;DUT INFORMATIQUE 2 ANNEE (apprentissage);171;12388757575;C652975736Y;COSSON;Edwyn;1997-07-25;M;FRANCAIS(E);29860;KERSAINT-PLABENNEC;Technicien;Technicien;S;AB;2016;29;0290335G;PRIVE LA CROIX ROUGE;C;
2016-2017;T10601;DUT INFORMATIQUE 1 ANNEE;131;12388757575;C652975736Y;COSSON;Edwyn;1997-07-25;M;FRANCAIS(E);29860;KERSAINT-PLABENNEC;Personne sans activite professionnelle;Technicien;S;AB;2016;29;0290335G;PRIVE LA CROIX ROUGE;A;Bourse enseignement supérieur définitive
2017-2018;T10602;DUT INFORMATIQUE 2 ANNEE;141;16241638875;N084876250F;GAULTIER;Winton;1997-08-13;M;FRANCAIS(E);22570;GOUAREC;Personne sans activite professionnelle;Ingenieur cadre technique d'entreprise;S;TB;2015;22;;;C;
2016-2017;T10601;DUT INFORMATIQUE 1 ANNEE;131;16241638875;N084876250F;GAULTIER;Winton;1997-08-13;M;FRANCAIS(E);22570;GOUAREC;Personne sans activite professionnelle;Ingenieur cadre technique d'entreprise;S;TB;2015;22;;;H;
2017-2018;T10602;DUT INFORMATIQUE 2 ANNEE;141;82860724863;J346465516D;MAZOYER;Stanford;1998-05-25;M;FRANCAIS(E);22170;CHATELAUDREN-PLOUAGAT;Personne sans activite professionnelle;Artisan;S;B;2016;22;0220018A;AUGUSTE PAVIE;C;Bourse enseignement supérieur définitive
2016-2017;T10601;DUT INFORMATIQUE 1 ANNEE;131;82860724863;J346465516D;MAZOYER;Stanford;1998-05-25;M;FRANCAIS(E);22170;CHATELAUDREN-PLOUAGAT;Personne sans activite professionnelle;Artisan;S;B;2016;22;0220018A;AUGUSTE PAVIE;A;Bourse enseignement supérieur définitive
2018-2019;T10606;DUT INFORMATIQUE 2 ANNEE (apprentissage);171;82794565328;R192242511B;SMITH;Lally;1998-12-13;F;FRANCAIS(E);22170;SAINT-JEAN-KERDANIEL;Technicien;Technicien;S;B;2016;22;0220018A;AUGUSTE PAVIE;C;
2017-2018;T10601;DUT INFORMATIQUE 1 ANNEE;131;82794565328;R192242511B;SMITH;Lally;1998-12-13;F;FRANCAIS(E);22170;SAINT-JEAN-KERDANIEL;Personne sans activite professionnelle;Technicien;S;B;2016;22;0220018A;AUGUSTE PAVIE;C;Bourse enseignement supérieur définitive
2016-2017;T10601;DUT INFORMATIQUE 1 ANNEE;131;82794565328;R192242511B;SMITH;Lally;1998-12-13;F;FRANCAIS(E);22170;SAINT-JEAN-KERDANIEL;Personne sans activite professionnelle;Technicien;S;B;2016;22;0220018A;AUGUSTE PAVIE;A;Bourse enseignement supérieur définitive
2017-2018;T10602;DUT INFORMATIQUE 2 ANNEE;141;64543128834;T130086254G;GUITARD;Jérémie;1998-11-20;M;FRANCAIS(E);22820;PLOUGRESCANT;Personne sans activite professionnelle;Agriculteur exploitant;S;B;2016;22;0220023F;FELIX LE DANTEC;C;Bourse enseignement supérieur définitive
2016-2017;T10601;DUT INFORMATIQUE 1 ANNEE;131;64543128834;T130086254G;GUITARD;Jérémie;1998-11-20;M;FRANCAIS(E);22820;PLOUGRESCANT;Personne sans activite professionnelle;Agriculteur exploitant;S;B;2016;22;0220023F;FELIX LE DANTEC;A;Bourse enseignement supérieur définitive
2018-2019;T10602;DUT INFORMATIQUE 2 ANNEE;141;92883381631;K075776720Z;DELATTRE;Alban;1998-05-11;M;FRANCAIS(E);22300;PLOULEC-H;Personne sans activite professionnelle;Ingenieur cadre technique d'entreprise;S;AB;2016;22;0220023F;FELIX LE DANTEC;C;
2017-2018;T10601;DUT INFORMATIQUE 1 ANNEE;131;92883381631;K075776720Z;DELATTRE;Alban;1998-05-11;M;FRANCAIS(E);22300;PLOULEC-H;Personne sans activite professionnelle;Ingenieur cadre technique d'entreprise;S;AB;2016;22;0220023F;FELIX LE DANTEC;E;
2018-2019;T10602;DUT INFORMATIQUE 2 ANNEE;141;57314678533;F996671391N;PARISOT;Zachary;1998-08-30;M;FRANCAIS(E);22200;GUINGAMP;Elève/Etudiant;Profession interm adm de la fonction pub;S;AB;2016;22;0220018A;AUGUSTE PAVIE;C;
2017-2018;T10601;DUT INFORMATIQUE 1 ANNEE;131;57314678533;F996671391N;PARISOT;Zachary;1998-08-30;M;FRANCAIS(E);22200;GUINGAMP;Personne sans activite professionnelle;Profession interm adm de la fonction pub;S;AB;2016;22;0220018A;AUGUSTE PAVIE;C;
2016-2017;T10601;DUT INFORMATIQUE 1 ANNEE;131;57314678533;F996671391N;PARISOT;Zachary;1998-08-30;M;FRANCAIS(E);22200;GUINGAMP;Personne sans activite professionnelle;Profession interm adm de la fonction pub;S;AB;2016;22;0220018A;AUGUSTE PAVIE;A;
2017-2018;T10602;DUT INFORMATIQUE 2 ANNEE;141;50521093519;U425881765T;BEGUIN;Clément;1998-10-12;M;FRANCAIS(E);;;Personne sans activite professionnelle;Agriculteur exploitant;S;AB;2016;22;0220106W;PRIVE JEAN XXIII;C;Bourse enseignement supérieur définitive
2016-2017;T10601;DUT INFORMATIQUE 1 ANNEE;131;50521093519;U425881765T;BEGUIN;Clément;1998-10-12;M;FRANCAIS(E);;;Personne sans activite professionnelle;Agriculteur exploitant;S;AB;2016;22;0220106W;PRIVE JEAN XXIII;A;Bourse enseignement supérieur définitive
2018-2019;T10602;DUT INFORMATIQUE 2 ANNEE;141;50813751546;K671431771D;LE ROY;Joël;1998-12-28;M;FRANCAIS(E);22730;TREGASTEL;Elève/Etudiant;Ingenieur cadre technique d'entreprise;S;AB;2016;22;0220023F;FELIX LE DANTEC;C;
2017-2018;T10601;DUT INFORMATIQUE 1 ANNEE;131;50813751546;K671431771D;LE ROY;Joël;1998-12-28;M;FRANCAIS(E);22730;TREGASTEL;Non renseigne (inconnu);Ingenieur cadre technique d'entreprise;S;AB;2016;22;0220023F;FELIX LE DANTEC;S;
2017-2018;T10602;DUT INFORMATIQUE 2 ANNEE;141;32491195731;B838664661Y;KREMER;Timothée;1998-11-25;M;FRANCAIS(E);22110;ROSTRENEN;Personne sans activite professionnelle;Commercant et assimile;S;B;2016;22;0220107X;PRIVE NOTRE DAME CAMPOSTAL;C;Bourse enseignement supérieur définitive
2016-2017;T10601;DUT INFORMATIQUE 1 ANNEE;131;32491195731;B838664661Y;KREMER;Timothée;1998-11-25;M;FRANCAIS(E);22110;ROSTRENEN;Personne sans activite professionnelle;Commercant et assimile;S;B;2016;22;0220107X;PRIVE NOTRE DAME CAMPOSTAL;A;Bourse enseignement supérieur définitive
2017-2018;T10602;DUT INFORMATIQUE 2 ANNEE;141;34298719357;L793669334B;KUHN;Gladwyn;1998-06-21;M;FRANCAIS(E);22590;PORDIC;Personne sans activite professionnelle;Professeur, profession scientifique;S;B;2016;22;0220057T;ERNEST RENAN;C;
2016-2017;T10601;DUT INFORMATIQUE 1 ANNEE;131;34298719357;L793669334B;KUHN;Gladwyn;1998-06-21;M;FRANCAIS(E);22590;PORDIC;Personne sans activite professionnelle;Professeur, profession scientifique;S;B;2016;22;0220057T;ERNEST RENAN;A;
2018-2019;T10602;DUT INFORMATIQUE 2 ANNEE;141;32753657877;E264335766R;BAILLON;Perry;1998-12-03;M;FRANCAIS(E);35000;RENNES;Personne sans activite professionnelle;Employe civil-agent de service de la FP;S;AB;2016;22;0220060W;E.FREYSSINET;C;
2017-2018;T10601;DUT INFORMATIQUE 1 ANNEE;131;32753657877;E264335766R;BAILLON;Perry;1998-12-03;M;FRANCAIS(E);35000;RENNES;Personne sans activite professionnelle;Employe civil-agent de service de la FP;S;AB;2016;22;0220060W;E.FREYSSINET;H;Bourse enseignement supérieur définitive
2019-2020;T10602;DUT INFORMATIQUE 2 ANNEE;141;73274541445;J894149244X;MAISONNEUVE;Egbert;1999-03-22;M;FRANCAIS(E);22600;SAINT-CARADEC;Personne sans activite professionnelle;Ingenieur cadre technique d'entreprise;S;AB;2017;22;0220027K;LYCEE GENERAL ET TECHNOLOGIQUE;C;Bourse enseignement supérieur définitive
2018-2019;T10601;DUT INFORMATIQUE 1 ANNEE;131;73274541445;J894149244X;MAISONNEUVE;Egbert;1999-03-22;M;FRANCAIS(E);22600;SAINT-CARADEC;Personne sans activite professionnelle;Ingenieur cadre technique d'entreprise;S;AB;2017;22;0220027K;LYCEE GENERAL ET TECHNOLOGIQUE;C;Bourse enseignement supérieur définitive
2019-2020;T10602;DUT INFORMATIQUE 2 ANNEE;141;25466822195;W596407140C;PAULET;Montgomery;1998-08-05;M;FRANCAIS(E);22820;PLOUGRESCANT;Personne sans activite professionnelle;Professeur, profession scientifique;TI2D;B;2017;22;0220023F;FELIX LE DANTEC;C;
2018-2019;T10601;DUT INFORMATIQUE 1 ANNEE;131;25466822195;W596407140C;PAULET;Montgomery;1998-08-05;M;FRANCAIS(E);22820;PLOUGRESCANT;Personne sans activite professionnelle;Professeur, profession scientifique;TI2D;B;2017;22;0220023F;FELIX LE DANTEC;C;Bourse enseignement supérieur définitive
2017-2018;T10601;DUT INFORMATIQUE 1 ANNEE;131;25466822195;W596407140C;PAULET;Montgomery;1998-08-05;M;FRANCAIS(E);22820;PLOUGRESCANT;Personne sans activite professionnelle;Professeur, profession scientifique;TI2D;B;2017;22;0220023F;FELIX LE DANTEC;A;
2017-2018;T10602;DUT INFORMATIQUE 2 ANNEE;141;18782492717;N750331546Y;GILLARD;Gervaise;1998-11-07;M;FRANCAIS(E);22300;LANNION;Personne sans activite professionnelle;Technicien;TI2D;B;2016;22;0220023F;FELIX LE DANTEC;C;
2016-2017;T10601;DUT INFORMATIQUE 1 ANNEE;131;18782492717;N750331546Y;GILLARD;Gervaise;1998-11-07;M;FRANCAIS(E);22300;LANNION;Personne sans activite professionnelle;Technicien;TI2D;B;2016;22;0220023F;FELIX LE DANTEC;A;
2018-2019;T10606;DUT INFORMATIQUE 2 ANNEE (apprentissage);171;12143873181;B756128831S;MARCEL;Gore;1998-04-04;M;FRANCAIS(E);22700;LOUANNEC;Technicien;Ingenieur cadre technique d'entreprise;S;AB;2016;22;0220023F;FELIX LE DANTEC;C;
